uf_co,uf_no,ano,sexo,racacor,pop_under74
13,Amazonas,2022,_1,_3,2734
13,Amazonas,2022,_2,_3,2969
13,Amazonas,2022,_1,_4,1328240
13,Amazonas,2022,_2,_4,1332764
13,Amazonas,2022,_1,_5,152472
13,Amazonas,2022,_2,_5,147162
14,Roraima,2010,_1,_1,45737
14,Roraima,2010,_2,_1,47096
14,Roraima,2010,_1,_2,15060
14,Roraima,2010,_2,_2,10893
14,Roraima,2010,_1,_3,1929
14,Roraima,2010,_2,_3,2338
14,Roraima,2010,_1,_4,138418
14,Roraima,2010,_2,_4,134557
14,Roraima,2010,_1,_5,25034
14,Roraima,2010,_2,_5,23988
14,Roraima,2022,_1,_1,62599
14,Roraima,2022,_2,_1,66075
14,Roraima,2022,_1,_2,27292
14,Roraima,2022,_2,_2,20801
14,Roraima,2022,_1,_3,345
14,Roraima,2022,_2,_3,415
14,Roraima,2022,_1,_4,179849
14,Roraima,2022,_2,_4,179263
14,Roraima,2022,_1,_5,44675
14,Roraima,2022,_2,_5,44042
15,Pará,2010,_1,_1,786572
15,Pará,2010,_2,_1,830394
15,Pará,2010,_1,_2,302665
15,Pará,2010,_2,_2,234902
15,Pará,2010,_1,_3,31070
15,Pará,2010,_2,_3,36945
15,Pará,2010,_1,_4,2622323
15,Pará,2010,_2,_4,2566425
15,Pará,2010,_1,_5,19493
15,Pará,2010,_2,_5,18964
15,Pará,2022,_1,_1,734570
15,Pará,2022,_2,_1,782433
15,Pará,2022,_1,_2,419549
15,Pará,2022,_2,_2,349203
15,Pará,2022,_1,_3,5214
15,Pará,2022,_2,_3,6448
15,Pará,2022,_1,_4,2761423
15,Pará,2022,_2,_4,2777552
15,Pará,2022,_1,_5,34145
15,Pará,2022,_2,_5,33717
16,Amapá,2010,_1,_1,75528
16,Amapá,2010,_2,_1,82801
16,Amapá,2010,_1,_2,31960
16,Amapá,2010,_2,_2,25440
16,Amapá,2010,_1,_3,3021
16,Amapá,2010,_2,_3,3489
16,Amapá,2010,_1,_4,217226
16,Amapá,2010,_2,_4,214444
16,Amapá,2010,_1,_5,3734
16,Amapá,2010,_2,_5,3604
16,Amapá,2022,_1,_1,73158
16,Amapá,2022,_2,_1,80524
16,Amapá,2022,_1,_2,46014
16,Amapá,2022,_2,_2,38573
16,Amapá,2022,_1,_3,339
16,Amapá,2022,_2,_3,388
16,Amapá,2022,_1,_4,233377
16,Amapá,2022,_2,_4,236906
16,Amapá,2022,_1,_5,5273
16,Amapá,2022,_2,_5,4956
17,Tocantins,2010,_1,_1,167768
17,Tocantins,2010,_2,_1,168535
17,Tocantins,2010,_1,_2,67724
17,Tocantins,2010,_2,_2,54700
17,Tocantins,2010,_1,_3,11316
17,Tocantins,2010,_2,_3,13758
17,Tocantins,2010,_1,_4,433396
17,Tocantins,2010,_2,_4,422948
17,Tocantins,2010,_1,_5,6515
17,Tocantins,2010,_2,_5,6324
17,Tocantins,2022,_1,_1,166077
17,Tocantins,2022,_2,_1,169776
17,Tocantins,2022,_1,_2,103267
17,Tocantins,2022,_2,_2,88120
17,Tocantins,2022,_1,_3,1438
17,Tocantins,2022,_2,_3,1834
17,Tocantins,2022,_1,_4,451945
17,Tocantins,2022,_2,_4,460146
17,Tocantins,2022,_1,_5,9295
17,Tocantins,2022,_2,_5,9029
21,Maranhão,2010,_1,_1,679442
21,Maranhão,2010,_2,_1,734567
21,Maranhão,2010,_1,_2,324800
21,Maranhão,2010,_2,_2,292486
21,Maranhão,2010,_1,_3,32480
21,Maranhão,2010,_2,_3,39947
21,Maranhão,2010,_1,_4,2136536
21,Maranhão,2010,_2,_4,2147220
21,Maranhão,2010,_1,_5,17191
21,Maranhão,2010,_2,_5,17206
21,Maranhão,2022,_1,_1,626191
21,Maranhão,2022,_2,_1,678225
21,Maranhão,2022,_1,_2,425436
21,Maranhão,2022,_2,_2,392781
21,Maranhão,2022,_1,_3,2697
21,Maranhão,2022,_2,_3,3631
21,Maranhão,2022,_1,_4,2146746
21,Maranhão,2022,_2,_4,2222654
21,Maranhão,2022,_1,_5,26639
21,Maranhão,2022,_2,_5,26500
22,Piauí,2010,_1,_1,350468
22,Piauí,2010,_2,_1,381377
22,Piauí,2010,_1,_2,149751
22,Piauí,2010,_2,_2,133270
22,Piauí,2010,_1,_3,29359
22,Piauí,2010,_2,_3,35462
22,Piauí,2010,_1,_4,956218
22,Piauí,2010,_2,_4,986531
22,Piauí,2010,_1,_5,1336
22,Piauí,2010,_2,_5,1523
22,Piauí,2022,_1,_1,338338
22,Piauí,2022,_2,_1,362853
22,Piauí,2022,_1,_2,200719
22,Piauí,2022,_2,_2,180191
22,Piauí,2022,_1,_3,1253
22,Piauí,2022,_2,_3,1650
22,Piauí,2022,_1,_4,995673
22,Piauí,2022,_2,_4,1043183
22,Piauí,2022,_1,_5,2931
22,Piauí,2022,_2,_5,3017
23,Ceará,2010,_1,_1,1233952
23,Ceará,2010,_2,_1,1365154
23,Ceará,2010,_1,_2,206785
23,Ceará,2010,_2,_2,171477
23,Ceará,2010,_1,_3,43713
23,Ceará,2010,_2,_3,58471
23,Ceará,2010,_1,_4,2512930
23,Ceará,2010,_2,_4,2575369
23,Ceará,2010,_1,_5,9347
23,Ceará,2010,_2,_5,9532
23,Ceará,2022,_1,_1,1101259
23,Ceará,2022,_2,_1,1216594
23,Ceará,2022,_1,_2,305099
23,Ceará,2022,_2,_2,260588
23,Ceará,2022,_1,_3,4713
23,Ceará,2022,_2,_3,5994
23,Ceará,2022,_1,_4,2669728
23,Ceará,2022,_2,_4,2813868
23,Ceará,2022,_1,_5,19138
23,Ceará,2022,_2,_5,19616
24,Rio Grande do Norte,2010,_1,_1,599165
24,Rio Grande do Norte,2010,_2,_1,657031
24,Rio Grande do Norte,2010,_1,_2,86364
24,Rio Grande do Norte,2010,_2,_2,73309
24,Rio Grande do Norte,2010,_1,_3,13215
24,Rio Grande do Norte,2010,_2,_3,18624
24,Rio Grande do Norte,2010,_1,_4,806116
24,Rio Grande do Norte,2010,_2,_4,810495
24,Rio Grande do Norte,2010,_1,_5,1246
24,Rio Grande do Norte,2010,_2,_5,1278
24,Rio Grande do Norte,2022,_1,_1,590116
24,Rio Grande do Norte,2022,_2,_1,649534
24,Rio Grande do Norte,2022,_1,_2,153149
24,Rio Grande do Norte,2022,_2,_2,134419
24,Rio Grande do Norte,2022,_1,_3,2042
24,Rio Grande do Norte,2022,_2,_3,2952
24,Rio Grande do Norte,2022,_1,_4,790664
24,Rio Grande do Norte,2022,_2,_4,827341
24,Rio Grande do Norte,2022,_1,_5,4442
24,Rio Grande do Norte,2022,_2,_5,4602
25,Paraíba,2010,_1,_1,684515
25,Paraíba,2010,_2,_1,752177
25,Paraíba,2010,_1,_2,108007
25,Paraíba,2010,_2,_2,96421
25,Paraíba,2010,_1,_3,19946
25,Paraíba,2010,_2,_3,27213
25,Paraíba,2010,_1,_4,946679
25,Paraíba,2010,_2,_4,977891
25,Paraíba,2010,_1,_5,9409
25,Paraíba,2010,_2,_5,9356
25,Paraíba,2022,_1,_1,641644
25,Paraíba,2022,_2,_1,697773
25,Paraíba,2022,_1,_2,158489
25,Paraíba,2022,_2,_2,141922
25,Paraíba,2022,_1,_3,2058
25,Paraíba,2022,_2,_3,2643
25,Paraíba,2022,_1,_4,1030851
25,Paraíba,2022,_2,_4,1090937
25,Paraíba,2022,_1,_5,12208
25,Paraíba,2022,_2,_5,12571
26,Pernambuco,2010,_1,_1,1460406
26,Pernambuco,2010,_2,_1,1648024
